Fregata magnificens_Magnificent Frigatebird
Tangara velia_Opal-rumped Tanager
Zonotrichia capensis_Rufous-collared Sparrow
Herpetotheres cachinnans_Laughing Falcon
Melanerpes cruentatus_Yellow-tufted Woodpecker
Piaya melanogaster_Black-bellied Cuckoo
Lophotriccus vitiosus_Double-banded Pygmy-Tyrant
Myiornis ecaudatus_Short-tailed Pygmy-Tyrant
Hemitriccus zosterops_White-eyed Tody-Tyrant
Myiothlypis rivularis_Riverbank Warbler
Daptrius ater_Black Caracara
Galbula albirostris_Yellow-billed Jacamar
Ara chloropterus_Red-and-green Macaw
Philydor erythrocercum_Rufous-rumped Foliage-gleaner
Vireo chivi_Chivi Vireo
Synallaxis gujanensis_Plain-crowned Spinetail
Harpia harpyja_Harpy Eagle
Automolus ochrolaemus_Buff-throated Foliage-gleaner
Butorides striata_Striated Heron
Psittacara leucophthalmus_White-eyed Parakeet
Laniocera hypopyrra_Cinereous Mourner
Cercomacroides tyrannina_Dusky Antbird
Corythopis torquatus_Ringed Antpipit
Leucopternis melanops_Black-faced Hawk
Geotrygon montana_Ruddy Quail-Dove
Nasica longirostris_Long-billed Woodcreeper
Crotophaga major_Greater Ani
Automolus infuscatus_Olive-backed Foliage-gleaner
Lanio fulvus_Fulvous Shrike-Tanager
Heliothryx auritus_Black-eared Fairy
Notharchus tectus_Pied Puffbird
Pyrrhura picta_Painted Parakeet
Pipra aureola_Crimson-hooded Manakin
Platalea ajaja_Roseate Spoonbill
Touit purpuratus_Sapphire-rumped Parrotlet
Campephilus melanoleucos_Crimson-crested Woodpecker
Atticora fasciata_White-banded Swallow
Setophaga striata_Blackpoll Warbler
Tachyphonus phoenicius_Red-shouldered Tanager
Charadrius wilsonia_Wilson's Plover
Loriotus cristatus_Flame-crested Tanager
Glaucidium hardyi_Amazonian Pygmy-Owl
Myrmoderus ferrugineus_Ferruginous-backed Antbird
Megaceryle alcyon_Belted Kingfisher
Myrmelastes leucostigma_Spot-winged Antbird
Myiopagis gaimardii_Forest Elaenia
Pachyramphus marginatus_Black-capped Becard
Hylophylax naevius_Spot-backed Antbird
Ornithion inerme_White-lored Tyrannulet
Lophostrix cristata_Crested Owl
Micrastur gilvicollis_Lined Forest-Falcon
Thamnophilus amazonicus_Amazonian Antshrike
Jacamerops aureus_Great Jacamar
Hypocnemoides melanopogon_Black-chinned Antbird
Elaenia chiriquensis_Lesser Elaenia
Patagioenas subvinacea_Ruddy Pigeon
Microrhopias quixensis_Dot-winged Antwren
Thamnomanes caesius_Cinereous Antshrike
Dacnis lineata_Black-faced Dacnis
Graydidascalus brachyurus_Short-tailed Parrot
Leptotila rufaxilla_Gray-fronted Dove
Philydor pyrrhodes_Cinnamon-rumped Foliage-gleaner
Monasa atra_Black Nunbird
Cranioleuca gutturata_Speckled Spinetail
Myiobius barbatus_Whiskered Flycatcher
Sternula antillarum_Least Tern
Myrmotherula menetriesii_Gray Antwren
Cairina moschata_Muscovy Duck
Piculus flavigula_Yellow-throated Woodpecker
Pachyramphus rufus_Cinereous Becard
Terenotriccus erythrurus_Ruddy-tailed Flycatcher
Sclerurus caudacutus_Black-tailed Leaftosser
Campylorhamphus procurvoides_Curve-billed Scythebill
Turdus albicollis_White-necked Thrush
Spatula clypeata_Northern Shoveler
Lamprospiza melanoleuca_Red-billed Pied Tanager
Microbates collaris_Collared Gnatwren
Sclateria naevia_Silvered Antbird
Querula purpurata_Purple-throated Fruitcrow
Myrmotherula longipennis_Long-winged Antwren
Aramides cajaneus_Gray-cowled Wood-Rail
Tachyphonus rufus_White-lined Tanager
Trogon melanurus_Black-tailed Trogon
Columba palumbus_Common Wood-Pigeon
Euchrepomis spodioptila_Ash-winged Antwren
Topaza pella_Crimson Topaz
Tityra cayana_Black-tailed Tityra
Brotogeris chrysoptera_Golden-winged Parakeet
Haematopus palliatus_American Oystercatcher
Trogon violaceus_Guianan Trogon
Tolmomyias assimilis_Yellow-margined Flycatcher
Pyrilia caica_Caica Parrot
Dryobates cassini_Golden-collared Woodpecker
Sterna dougallii_Roseate Tern
Euphonia chrysopasta_Golden-bellied Euphonia
Dendrocolaptes picumnus_Black-banded Woodcreeper
Onychoprion fuscatus_Sooty Tern
Bucco tamatia_Spotted Puffbird
Lepidocolaptes albolineatus_Guianan Woodcreeper
Gymnopithys rufigula_Rufous-throated Antbird
Mesembrinibis cayennensis_Green Ibis
Platyrinchus coronatus_Golden-crowned Spadebill
Hylocharis sapphirina_Rufous-throated Sapphire
Ceratopipra erythrocephala_Golden-headed Manakin
Chlorestes cyanus_White-chinned Sapphire
Pithys albifrons_White-plumed Antbird
Perissocephalus tricolor_Capuchinbird
Cantorchilus leucotis_Buff-breasted Wren
Myiophobus fasciatus_Bran-colored Flycatcher
Xiphorhynchus obsoletus_Striped Woodcreeper
Cymbilaimus lineatus_Fasciated Antshrike
Geranoaetus albicaudatus_White-tailed Hawk
Vireolanius leucotis_Slaty-capped Shrike-Vireo
Deroptyus accipitrinus_Red-fan Parrot
Chaetura chapmani_Chapman's Swift
Odontophorus gujanensis_Marbled Wood-Quail
Pteroglossus aracari_Black-necked Aracari
Harpagus bidentatus_Double-toothed Kite
Caryothraustes canadensis_Yellow-green Grosbeak
Ara ararauna_Blue-and-yellow Macaw
Cyphorhinus arada_Musician Wren
Pachyramphus surinamus_Glossy-backed Becard
Ciccaba huhula_Black-banded Owl
Tyranneutes virescens_Tiny Tyrant-Manakin
Empidonomus varius_Variegated Flycatcher
Brachygalba lugubris_Brown Jacamar
Capito niger_Black-spotted Barbet
Chloroceryle inda_Green-and-rufous Kingfisher
Bubo virginianus_Great Horned Owl
Lurocalis semitorquatus_Short-tailed Nighthawk
Zimmerius acer_Guianan Tyrannulet
Nannopterum brasilianum_Neotropic Cormorant
Myiodynastes maculatus_Streaked Flycatcher
Coccyzus americanus_Yellow-billed Cuckoo
Fulica americana_American Coot
Chloroceryle aenea_American Pygmy Kingfisher
Onychorhynchus coronatus_Royal Flycatcher
Chordeiles acutipennis_Lesser Nighthawk
Asio stygius_Stygian Owl
Tangara chilensis_Paradise Tanager
Sporophila angolensis_Chestnut-bellied Seed-Finch
Conirostrum bicolor_Bicolored Conebill
Ammodramus humeralis_Grassland Sparrow
Nyctibius grandis_Great Potoo
Spizaetus ornatus_Ornate Hawk-Eagle
Opisthocomus hoazin_Hoatzin
Thamnophilus nigrocinereus_Blackish-gray Antshrike
Myrmothera campanisona_Thrush-like Antpitta
Loriotus luctuosus_White-shouldered Tanager
Chloroceryle amazona_Amazon Kingfisher
Selenidera piperivora_Guianan Toucanet
Phoenicircus carnifex_Guianan Red-Cotinga
Sclerurus rufigularis_Short-billed Leaftosser
Saltator maximus_Buff-throated Saltator
Petrochelidon pyrrhonota_Cliff Swallow
Dendrexetastes rufigula_Cinnamon-throated Woodcreeper
Megaceryle torquata_Ringed Kingfisher
Henicorhina leucosticta_White-breasted Wood-Wren
