Pitangus sulphuratus_Great Kiskadee
Cyanocorax cristatellus_Curl-crested Jay
Asio flammeus_Short-eared Owl
Momotus momota_Amazonian Motmot
Berlepschia rikeri_Point-tailed Palmcreeper
Dryobates mixtus_Checkered Woodpecker
Hylophilus pectoralis_Ashy-headed Greenlet
Casiornis rufus_Rufous Casiornis
Alipiopsitta xanthops_Yellow-faced Parrot
Monasa nigrifrons_Black-fronted Nunbird
Columba livia_Rock Pigeon
Accipiter poliogaster_Gray-bellied Hawk
Heliornis fulica_Sungrebe
Ixobrychus involucris_Stripe-backed Bittern
Coryphospingus cucullatus_Red-crested Finch
Coccycua minuta_Little Cuckoo
Brachygalba lugubris_Brown Jacamar
Cochlearius cochlearius_Boat-billed Heron
Eurypyga helias_Sunbittern
Aegolius harrisii_Buff-fronted Owl
Crax fasciolata_Bare-faced Curassow
Hylocharis chrysura_Gilded Hummingbird
Elaenia parvirostris_Small-billed Elaenia
Pteroglossus castanotis_Chestnut-eared Aracari
Lurocalis semitorquatus_Short-tailed Nighthawk
Micropygia schomburgkii_Ocellated Crake
Jabiru mycteria_Jabiru
Buteogallus coronatus_Chaco Eagle
Polystictus pectoralis_Bearded Tachuri
Hydropsalis maculicaudus_Spot-tailed Nightjar
Arremon flavirostris_Saffron-billed Sparrow
Poecilotriccus latirostris_Rusty-fronted Tody-Flycatcher
Sporophila hypoxantha_Tawny-bellied Seedeater
Clibanornis rectirostris_Chestnut-capped Foliage-gleaner
Haematopus palliatus_American Oystercatcher
Zimmerius acer_Guianan Tyrannulet
Circus buffoni_Long-winged Harrier
Pseudocolopteryx sclateri_Crested Doradito
Turdus subalaris_Blacksmith Thrush
Pteroglossus inscriptus_Lettered Aracari
Serpophaga nigricans_Sooty Tyrannulet
Sporophila pileata_Pearly-bellied Seedeater
Myiothlypis leucophrys_White-striped Warbler
Nyctibius aethereus_Long-tailed Potoo
Gygis alba_White Tern
Coryphaspiza melanotis_Black-masked Finch
Syndactyla dimidiata_Russet-mantled Foliage-gleaner
Attila phoenicurus_Rufous-tailed Attila
Cistothorus platensis_Grass Wren
Mustelirallus erythrops_Paint-billed Crake
Emberizoides ypiranganus_Lesser Grass-Finch
Picumnus temminckii_Ochre-collared Piculet
