Quiscalus mexicanus_Great-tailed Grackle
Chlidonias niger_Black Tern
Gallinula galeata_Common Gallinule
Piranga bidentata_Flame-colored Tanager
Setophaga palmarum_Palm Warbler
Cardellina canadensis_Canada Warbler
Ramphocelus sanguinolentus_Crimson-collared Tanager
Charadrius vociferus_Killdeer
Columbina minuta_Plain-breasted Ground Dove
Sphyrapicus varius_Yellow-bellied Sapsucker
Aythya affinis_Lesser Scaup
Larus argentatus_Herring Gull
Saucerottia cyanocephala_Azure-crowned Hummingbird
Numenius phaeopus_Whimbrel
Molothrus oryzivorus_Giant Cowbird
Empidonax alnorum_Alder Flycatcher
Patagioenas leucocephala_White-crowned Pigeon
Arremon brunneinucha_Chestnut-capped Brushfinch
Psarocolius wagleri_Chestnut-headed Oropendola
Cardellina pusilla_Wilson's Warbler
Sporophila funerea_Thick-billed Seed-Finch
Gelochelidon nilotica_Gull-billed Tern
Spinus notatus_Black-headed Siskin
Geothlypis tolmiei_MacGillivray's Warbler
Busarellus nigricollis_Black-collared Hawk
Lonchura malacca_Tricolored Munia
Chlorophonia elegantissima_Elegant Euphonia
Stilpnia larvata_Golden-hooded Tanager
Ammodramus savannarum_Grasshopper Sparrow
Piranga flava_Hepatic Tanager
Anabacerthia variegaticeps_Scaly-throated Foliage-gleaner
Eupherusa eximia_Stripe-tailed Hummingbird
Notharchus hyperrhynchus_White-necked Puffbird
Passer domesticus_House Sparrow
Zentrygon albifacies_White-faced Quail-Dove
Sula leucogaster_Brown Booby
Catharus aurantiirostris_Orange-billed Nightingale-Thrush
Circus hudsonius_Northern Harrier
Onychoprion anaethetus_Bridled Tern
Pseudastur albicollis_White Hawk
Campylopterus hemileucurus_Violet Sabrewing
Setophaga chrysoparia_Golden-cheeked Warbler
Empidonax traillii_Willow Flycatcher
Ciccaba nigrolineata_Black-and-white Owl
Calidris himantopus_Stilt Sandpiper
Melanerpes pucherani_Black-cheeked Woodpecker
Colibri thalassinus_Mexican Violetear
Burhinus bistriatus_Double-striped Thick-knee
Peucedramus taeniatus_Olive Warbler
Porzana carolina_Sora
Harpagus bidentatus_Double-toothed Kite
Falco columbarius_Merlin
Leptodon cayanensis_Gray-headed Kite
Chlorophonia occipitalis_Blue-crowned Chlorophonia
Nyctiphrynus yucatanicus_Yucatan Poorwill
Myioborus pictus_Painted Redstart
Bubo virginianus_Great Horned Owl
Antrostomus arizonae_Mexican Whip-poor-will
Empidonax albigularis_White-throated Flycatcher
Contopus pertinax_Greater Pewee
Bolborhynchus lineola_Barred Parakeet
Cyanolyca cucullata_Azure-hooded Jay
Xiphocolaptes promeropirhynchus_Strong-billed Woodcreeper
Lepidocolaptes affinis_Spot-crowned Woodcreeper
Oreothlypis superciliosa_Crescent-chested Warbler
Catharus minimus_Gray-cheeked Thrush
Mitrephanes phaeocercus_Tufted Flycatcher
Cyanocitta stelleri_Steller's Jay
Psittacara holochlorus_Green Parakeet
Empidonax hammondii_Hammond's Flycatcher
Sicalis luteola_Grassland Yellow-Finch
Columbina inca_Inca Dove
Empidonax flavescens_Yellowish Flycatcher
Trogon mexicanus_Mountain Trogon
Dendrocygna bicolor_Fulvous Whistling-Duck
Basileuterus belli_Golden-browed Warbler
Grallaria guatimalensis_Scaled Antpitta
Pharomachrus mocinno_Resplendent Quetzal
Setophaga coronata_Yellow-rumped Warbler
Tyrannus verticalis_Western Kingbird
Dryobates scalaris_Ladder-backed Woodpecker
Vireo solitarius_Blue-headed Vireo
Antrostomus badius_Yucatan Nightjar
Lampornis sybillae_Green-breasted Mountain-gem
Basilinna leucotis_White-eared Hummingbird
Myrmotherula schisticolor_Slaty Antwren
Aphelocoma unicolor_Unicolored Jay
Onychoprion fuscatus_Sooty Tern
Taraba major_Great Antshrike
Clibanornis rubiginosus_Ruddy Foliage-gleaner
Eugenes fulgens_Rivoli's Hummingbird
Glyphorynchus spirurus_Wedge-billed Woodcreeper
Ramphocelus passerinii_Scarlet-rumped Tanager
Turdus plebejus_Mountain Thrush
Petrochelidon fulva_Cave Swallow
Microrhopias quixensis_Dot-winged Antwren
Tangara lavinia_Rufous-winged Tanager
Cantorchilus modestus_Cabanis's Wren
Chlorophanes spiza_Green Honeycreeper
Spinus psaltria_Lesser Goldfinch
