Coereba flaveola_Bananaquit
Thamnomanes ardesiacus_Dusky-throated Antshrike
Eurypyga helias_Sunbittern
Sporophila angolensis_Chestnut-bellied Seed-Finch
Trogon rufus_Black-throated Trogon
Notharchus tectus_Pied Puffbird
Schiffornis olivacea_Olivaceous Schiffornis
Rostrhamus sociabilis_Snail Kite
Piculus flavigula_Yellow-throated Woodpecker
Trogon melanurus_Black-tailed Trogon
Micrastur gilvicollis_Lined Forest-Falcon
Patagioenas subvinacea_Ruddy Pigeon
Automolus infuscatus_Olive-backed Foliage-gleaner
Tigrisoma lineatum_Rufescent Tiger-Heron
Empidonomus varius_Variegated Flycatcher
Ixothraupis punctata_Spotted Tanager
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Ciccaba huhula_Black-banded Owl
Piaya melanogaster_Black-bellied Cuckoo
Pionus fuscus_Dusky Parrot
Lathrotriccus euleri_Euler's Flycatcher
Odontophorus gujanensis_Marbled Wood-Quail
Laterallus melanophaius_Rufous-sided Crake
Platyrinchus coronatus_Golden-crowned Spadebill
Cyphorhinus arada_Musician Wren
Lophotriccus vitiosus_Double-banded Pygmy-Tyrant
Geranospiza caerulescens_Crane Hawk
Tolmomyias assimilis_Yellow-margined Flycatcher
Lamprospiza melanoleuca_Red-billed Pied Tanager
Celeus undatus_Waved Woodpecker
Pulsatrix perspicillata_Spectacled Owl
Myiarchus swainsoni_Swainson's Flycatcher
Ciccaba virgata_Mottled Owl
Parkesia noveboracensis_Northern Waterthrush
Deroptyus accipitrinus_Red-fan Parrot
Pitangus lictor_Lesser Kiskadee
Campephilus rubricollis_Red-necked Woodpecker
Thamnophilus murinus_Mouse-colored Antshrike
Hydropsalis cayennensis_White-tailed Nightjar
Leucopternis melanops_Black-faced Hawk
Dendrexetastes rufigula_Cinnamon-throated Woodcreeper
Myiobius barbatus_Whiskered Flycatcher
Conopias parvus_Yellow-throated Flycatcher
Campylorhamphus procurvoides_Curve-billed Scythebill
Pionus menstruus_Blue-headed Parrot
Amazona farinosa_Mealy Parrot
Patagioenas plumbea_Plumbeous Pigeon
Amazona ochrocephala_Yellow-crowned Parrot
Chelidoptera tenebrosa_Swallow-winged Puffbird
Sporophila castaneiventris_Chestnut-bellied Seedeater
Picumnus exilis_Golden-spangled Piculet
Rhynchocyclus olivaceus_Olivaceous Flatbill
Lepidothrix serena_White-fronted Manakin
Patagioenas squamosa_Scaly-naped Pigeon
Myiarchus tuberculifer_Dusky-capped Flycatcher
Mesembrinibis cayennensis_Green Ibis
Cantorchilus leucotis_Buff-breasted Wren
Myrmothera campanisona_Thrush-like Antpitta
Myrmotherula brachyura_Pygmy Antwren
Pteroglossus aracari_Black-necked Aracari
Berlepschia rikeri_Point-tailed Palmcreeper
Tangara gyrola_Bay-headed Tanager
Mionectes macconnelli_McConnell's Flycatcher
Dryobates passerinus_Little Woodpecker
Hypocnemoides melanopogon_Black-chinned Antbird
Lanio fulvus_Fulvous Shrike-Tanager
Myiophobus fasciatus_Bran-colored Flycatcher
Coccyzus americanus_Yellow-billed Cuckoo
Chondrohierax uncinatus_Hook-billed Kite
Ramphastos tucanus_White-throated Toucan
Sturnella magna_Eastern Meadowlark
Columba livia_Rock Pigeon
Campylopterus largipennis_Gray-breasted Sabrewing
Glyphorynchus spirurus_Wedge-billed Woodcreeper
Phylloscartes virescens_Olive-green Tyrannulet
Lipaugus vociferans_Screaming Piha
Euphonia minuta_White-vented Euphonia
Hemitriccus zosterops_White-eyed Tody-Tyrant
Microrhopias quixensis_Dot-winged Antwren
Falco sparverius_American Kestrel
Saltator grossus_Slate-colored Grosbeak
Cochlearius cochlearius_Boat-billed Heron
Todirostrum cinereum_Common Tody-Flycatcher
Emberizoides herbicola_Wedge-tailed Grass-Finch
Myrmotherula longipennis_Long-winged Antwren
Accipiter bicolor_Bicolored Hawk
Euchrepomis spodioptila_Ash-winged Antwren
Percnostola rufifrons_Black-headed Antbird
Crax alector_Black Curassow
Asio clamator_Striped Owl
Elaenia chiriquensis_Lesser Elaenia
Phaethornis superciliosus_Long-tailed Hermit
Vireolanius leucotis_Slaty-capped Shrike-Vireo
Bucco tamatia_Spotted Puffbird
Contopus cooperi_Olive-sided Flycatcher
Sporophila lineola_Lined Seedeater
Myiothlypis rivularis_Riverbank Warbler
Stilpnia cayana_Burnished-buff Tanager
Gampsonyx swainsonii_Pearl Kite
Henicorhina leucosticta_White-breasted Wood-Wren
Opisthocomus hoazin_Hoatzin
Platyrinchus platyrhynchos_White-crested Spadebill
Euphonia chrysopasta_Golden-bellied Euphonia
Pyrrhura picta_Painted Parakeet
Sporophila nigricollis_Yellow-bellied Seedeater
Hemithraupis guira_Guira Tanager
Athene cunicularia_Burrowing Owl
Galbula leucogastra_Bronzy Jacamar
Colinus cristatus_Crested Bobwhite
Thamnomanes caesius_Cinereous Antshrike
Tersina viridis_Swallow Tanager
Amaurolimnas concolor_Uniform Crake
Capito niger_Black-spotted Barbet
Picumnus cirratus_White-barred Piculet
Morphnus guianensis_Crested Eagle
Colaptes rubiginosus_Golden-olive Woodpecker
Pipra aureola_Crimson-hooded Manakin
Sclerurus caudacutus_Black-tailed Leaftosser
Ara macao_Scarlet Macaw
Topaza pella_Crimson Topaz
Phoenicircus carnifex_Guianan Red-Cotinga
Tyranneutes virescens_Tiny Tyrant-Manakin
Setophaga pitiayumi_Tropical Parula
Cymbilaimus lineatus_Fasciated Antshrike
Daptrius ater_Black Caracara
Pyrilia caica_Caica Parrot
Megascops watsonii_Tawny-bellied Screech-Owl
Butorides virescens_Green Heron
Nemosia pileata_Hooded Tanager
Gallinago paraguaiae_Paraguayan Snipe
Bubo virginianus_Great Horned Owl
Anthus lutescens_Yellowish Pipit
Selenidera piperivora_Guianan Toucanet
Micrastur ruficollis_Barred Forest-Falcon
Anas acuta_Northern Pintail
Myrmoderus ferrugineus_Ferruginous-backed Antbird
Elaenia parvirostris_Small-billed Elaenia
Lophostrix cristata_Crested Owl
Micrastur mirandollei_Slaty-backed Forest-Falcon
Cyanocorax cayanus_Cayenne Jay
Xiphorhynchus obsoletus_Striped Woodcreeper
Coccyzus melacoryphus_Dark-billed Cuckoo
Penelope marail_Marail Guan
Procnias averano_Bearded Bellbird
Euphonia cayennensis_Golden-sided Euphonia
Capsiempis flaveola_Yellow Tyrannulet
Porzana carolina_Sora
Ortalis motmot_Variable Chachalaca
Xipholena punicea_Pompadour Cotinga
Colonia colonus_Long-tailed Tyrant
Hylocharis sapphirina_Rufous-throated Sapphire
Elaenia cristata_Plain-crested Elaenia
Crypturellus cinereus_Cinereous Tinamou
Pithys albifrons_White-plumed Antbird
Notharchus macrorhynchos_Guianan Puffbird
Phoenicopterus ruber_American Flamingo
Zimmerius acer_Guianan Tyrannulet
Chionomesa fimbriata_Glittering-throated Emerald
Onychoprion anaethetus_Bridled Tern
Monasa atra_Black Nunbird
Touit purpuratus_Sapphire-rumped Parrotlet
Phaethornis bourcieri_Straight-billed Hermit
Dryobates cassini_Golden-collared Woodpecker
Atticora fasciata_White-banded Swallow
Hylophylax naevius_Spot-backed Antbird
Diopsittaca nobilis_Red-shouldered Macaw
Trogon collaris_Collared Trogon
Mycteria americana_Wood Stork
Ammodramus humeralis_Grassland Sparrow
Chaetura chapmani_Chapman's Swift
Arremon taciturnus_Pectoral Sparrow
Sicalis luteola_Grassland Yellow-Finch
Melanerpes cruentatus_Yellow-tufted Woodpecker
Perissocephalus tricolor_Capuchinbird
Elanus leucurus_White-tailed Kite
Philydor pyrrhodes_Cinnamon-rumped Foliage-gleaner
Phaethornis longuemareus_Little Hermit
Dendrocincla merula_White-chinned Woodcreeper
Zebrilus undulatus_Zigzag Heron
Herpsilochmus stictocephalus_Todd's Antwren
Polytmus guainumbi_White-tailed Goldenthroat
Conirostrum speciosum_Chestnut-vented Conebill
Xiphorhynchus pardalotus_Chestnut-rumped Woodcreeper
Myrmornis torquata_Wing-banded Antbird
Dromococcyx phasianellus_Pheasant Cuckoo
Touit huetii_Scarlet-shouldered Parrotlet
Frederickena viridis_Black-throated Antshrike
Jabiru mycteria_Jabiru
Galbula ruficauda_Rufous-tailed Jacamar
Glaucidium hardyi_Amazonian Pygmy-Owl
Mustelirallus albicollis_Ash-throated Crake
Hydropsalis maculicaudus_Spot-tailed Nightjar
Claravis pretiosa_Blue Ground Dove
Stercorarius pomarinus_Pomarine Jaeger
Epinecrophylla gutturalis_Brown-bellied Stipplethroat
Gymnopithys rufigula_Rufous-throated Antbird
Brachygalba lugubris_Brown Jacamar
Myrmelastes leucostigma_Spot-winged Antbird
Falco femoralis_Aplomado Falcon
Saltator olivascens_Olivaceous Saltator
Isleria guttata_Rufous-bellied Antwren
Ara chloropterus_Red-and-green Macaw
Threnetes leucurus_Pale-tailed Barbthroat
Todirostrum pictum_Painted Tody-Flycatcher
Granatellus pelzelni_Rose-breasted Chat
Megaceryle alcyon_Belted Kingfisher
Tachyphonus phoenicius_Red-shouldered Tanager
Corapipo gutturalis_White-throated Manakin
Thamnophilus amazonicus_Amazonian Antshrike
Piranga flava_Hepatic Tanager
Chlidonias niger_Black Tern
Crypturellus erythropus_Red-legged Tinamou
Vanellus cayanus_Pied Lapwing
Nonnula rubecula_Rusty-breasted Nunlet
Myrmotherula surinamensis_Guianan Streaked-Antwren
Microbates collaris_Collared Gnatwren
Porphyrio flavirostris_Azure Gallinule
Progne elegans_Southern Martin
Rhytipterna immunda_Pale-bellied Mourner
Chordeiles nacunda_Nacunda Nighthawk
Burhinus bistriatus_Double-striped Thick-knee
Anhima cornuta_Horned Screamer
Hylophilus thoracicus_Lemon-chested Greenlet
Hypocnemis cantator_Guianan Warbling-Antbird
Hemithraupis flavicollis_Yellow-backed Tanager
Streptopelia decaocto_Eurasian Collared-Dove
Fulica americana_American Coot
Dacnis lineata_Black-faced Dacnis
Myiozetetes luteiventris_Dusky-chested Flycatcher
Dysithamnus mentalis_Plain Antvireo
Asio flammeus_Short-eared Owl
Neopelma pallescens_Pale-bellied Tyrant-Manakin
Hylopezus macularius_Spotted Antpitta
Pachysylvia muscicapina_Buff-cheeked Greenlet
Theristicus caudatus_Buff-necked Ibis
Touit batavicus_Lilac-tailed Parrotlet
Sporophila bouvronides_Lesson's Seedeater
Ara severus_Chestnut-fronted Macaw
Chaetura cinereiventris_Gray-rumped Swift
Eucometis penicillata_Gray-headed Tanager
Sittasomus griseicapillus_Olivaceous Woodcreeper
Tyrannus albogularis_White-throated Kingbird
Thlypopsis sordida_Orange-headed Tanager
Xenops rutilans_Streaked Xenops
Sublegatus arenarum_Northern Scrub-Flycatcher
Nyctiprogne leucopyga_Band-tailed Nighthawk
Aythya affinis_Lesser Scaup
Nyctibius aethereus_Long-tailed Potoo
Melanospiza bicolor_Black-faced Grassquit
Tinamus tao_Gray Tinamou
Antrostomus rufus_Rufous Nightjar
Allenia fusca_Scaly-breasted Thrasher
Contopus cinereus_Tropical Pewee
Lepidocolaptes albolineatus_Guianan Woodcreeper
Haematopus palliatus_American Oystercatcher
Saltator maximus_Buff-throated Saltator
Graydidascalus brachyurus_Short-tailed Parrot
Automolus rufipileatus_Chestnut-crowned Foliage-gleaner
Pachyramphus castaneus_Chestnut-crowned Becard
Micropygia schomburgkii_Ocellated Crake
Asemospiza fuliginosa_Sooty Grassquit
Zonotrichia capensis_Rufous-collared Sparrow
Zenaida aurita_Zenaida Dove
Euphonia chlorotica_Purple-throated Euphonia
Pachyramphus surinamus_Glossy-backed Becard
Phaethornis malaris_Great-billed Hermit
Petrochelidon pyrrhonota_Cliff Swallow
Plegadis falcinellus_Glossy Ibis
Pseudocolopteryx sclateri_Crested Doradito
Spiza americana_Dickcissel
Sclerurus rufigularis_Short-billed Leaftosser
Buteogallus anthracinus_Common Black Hawk
Gymnomystax mexicanus_Oriole Blackbird
Nengetus cinereus_Gray Monjita
Basileuterus culicivorus_Golden-crowned Warbler
Deconychura longicauda_Long-tailed Woodcreeper
Tyrannus tyrannus_Eastern Kingbird
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Myiozetetes similis_Social Flycatcher
Poecilotriccus sylvia_Slate-headed Tody-Flycatcher
Formicivora rufa_Rusty-backed Antwren
Cinclocerthia gutturalis_Gray Trembler
Calidris subruficollis_Buff-breasted Sandpiper
Cranioleuca gutturata_Speckled Spinetail
Pipile cumanensis_Blue-throated Piping-Guan
Paroaria gularis_Red-capped Cardinal
Cypsnagra hirundinacea_White-rumped Tanager
Chordeiles pusillus_Least Nighthawk
Nasica longirostris_Long-billed Woodcreeper
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Streptoprocne zonaris_White-collared Swift
Myiobius atricaudus_Black-tailed Flycatcher
Machetornis rixosa_Cattle Tyrant
Tityra semifasciata_Masked Tityra
Eupetomena macroura_Swallow-tailed Hummingbird
Dendrocygna bicolor_Fulvous Whistling-Duck
Mimus saturninus_Chalk-browed Mockingbird
Platyrinchus mystaceus_White-throated Spadebill
Chordeiles gundlachii_Antillean Nighthawk
Setophaga ruticilla_American Redstart
Hydropsalis torquata_Scissor-tailed Nightjar
Sporophila plumbea_Plumbeous Seedeater
Aramides axillaris_Rufous-necked Wood-Rail
