Leptoptilos crumenifer_Marabou Stork
Criniger calurus_Red-tailed Greenbul
Phoeniculus purpureus_Green Woodhoopoe
Mirafra africana_Rufous-naped Lark
Emberiza flaviventris_Golden-breasted Bunting
Salpornis salvadori_African Spotted Creeper
Anas acuta_Northern Pintail
Cossypha polioptera_Gray-winged Robin-Chat
Coracina pectoralis_White-breasted Cuckooshrike
Calandrella cinerea_Red-capped Lark
Chlidonias hybrida_Whiskered Tern
Buteo buteo_Common Buzzard
Falco vespertinus_Red-footed Falcon
Merops persicus_Blue-cheeked Bee-eater
Eremomela icteropygialis_Yellow-bellied Eremomela
Apaloderma vittatum_Bar-tailed Trogon
Cryptospiza reichenovii_Red-faced Crimsonwing
Bycanistes albotibialis_White-thighed Hornbill
Alopochen aegyptiaca_Egyptian Goose
Curruca iberiae_Western Subalpine Warbler
Euplectes ardens_Red-collared Widowbird
Apalis rufogularis_Buff-throated Apalis
Curruca curruca_Lesser Whitethroat
Prinia bairdii_Banded Prinia
Bleda notatus_Lesser Bristlebill
Ploceus velatus_Southern Masked-Weaver
Hydrobates pelagicus_European Storm-Petrel
Pternistis squamatus_Scaly Francolin
Alethe castanea_Fire-crested Alethe
Saxicola torquatus_African Stonechat
Cercotrichas podobe_Black Scrub-Robin
Phylloscopus collybita_Common Chiffchaff
Charadrius tricollaris_Three-banded Plover
Streptopelia decipiens_Mourning Collared-Dove
Iduna pallida_Eastern Olivaceous Warbler
Streptopelia roseogrisea_African Collared-Dove
Coracina caesia_Gray Cuckooshrike
Smithornis capensis_African Broadbill
Rhinopomastus cyanomelas_Common Scimitarbill
Hippolais icterina_Icterine Warbler
Coturnix coturnix_Common Quail
Euplectes capensis_Yellow Bishop
Platysteira castanea_Chestnut Wattle-eye
Hydrobates leucorhous_Leach's Storm-Petrel
Sarothrura elegans_Buff-spotted Flufftail
Oenanthe hispanica_Western Black-eared Wheatear
Coracias garrulus_European Roller
Lanius isabellinus_Isabelline Shrike
Mirafra cantillans_Singing Bushlark
Agapornis roseicollis_Rosy-faced Lovebird
Phalacrocorax carbo_Great Cormorant
Motacilla alba_White Wagtail
Cossypha natalensis_Red-capped Robin-Chat
Psalidoprocne pristoptera_Black Sawwing
Laniarius luehderi_Lühder's Bushshrike
Myrmecocichla aethiops_Northern Anteater-Chat
Stercorarius pomarinus_Pomarine Jaeger
Campethera abingoni_Golden-tailed Woodpecker
Lymnocryptes minimus_Jack Snipe
Falco naumanni_Lesser Kestrel
Dendrocygna bicolor_Fulvous Whistling-Duck
Spatula clypeata_Northern Shoveler
Cercotrichas hartlaubi_Brown-backed Scrub-Robin
Turnix sylvaticus_Small Buttonquail
Onychoprion fuscatus_Sooty Tern
Aythya nyroca_Ferruginous Duck
Sylvia atricapilla_Eurasian Blackcap
Cisticola chubbi_Chubb's Cisticola
Caprimulgus rufigena_Rufous-cheeked Nightjar
Lanius excubitor_Great Gray Shrike
Merops variegatus_Blue-breasted Bee-eater
Urocolius macrourus_Blue-naped Mousebird
Apus pallidus_Pallid Swift
Pterocles exustus_Chestnut-bellied Sandgrouse
Cossypha albicapillus_White-crowned Robin-Chat
Aythya ferina_Common Pochard
Phyllolais pulchella_Buff-bellied Warbler
Anas crecca_Green-winged Teal
Iduna natalensis_African Yellow-Warbler
Coturnix delegorguei_Harlequin Quail
Ploceus ocularis_Spectacled Weaver
Anous minutus_Black Noddy
Burhinus vermiculatus_Water Thick-knee
Uraeginthus angolensis_Southern Cordonbleu
Platysteira blissetti_Red-cheeked Wattle-eye
Caprimulgus europaeus_Eurasian Nightjar
Phaethon aethereus_Red-billed Tropicbird
Phoeniconaias minor_Lesser Flamingo
Corvus ruficollis_Brown-necked Raven
Monticola saxatilis_Rufous-tailed Rock-Thrush
Vidua funerea_Variable Indigobird
Spiloptila clamans_Cricket Longtail
Gyps fulvus_Eurasian Griffon
Zapornia parva_Little Crake
Porzana porzana_Spotted Crake
Rallus caerulescens_African Rail
Clanga pomarina_Lesser Spotted Eagle
Cisticola aridulus_Desert Cisticola
Galerida cristata_Crested Lark
Bradypterus baboecala_Little Rush Warbler
Curruca hortensis_Western Orphean Warbler
