Ciconia nigra_Black Stork
Pernis apivorus_European Honey-buzzard
Oriolus chlorocephalus_Green-headed Oriole
Balearica regulorum_Gray Crowned-Crane
Euplectes progne_Long-tailed Widowbird
Glareola pratincola_Collared Pratincole
Saxicola rubetra_Whinchat
Hypargos niveoguttatus_Peters's Twinspot
Ciconia ciconia_White Stork
Jynx ruficollis_Rufous-necked Wryneck
Uraeginthus bengalus_Red-cheeked Cordonbleu
Coracina caesia_Gray Cuckooshrike
Euplectes hordeaceus_Black-winged Bishop
Cercotrichas barbata_Miombo Scrub-Robin
Pogonocichla stellata_White-starred Robin
Anthus leucophrys_Plain-backed Pipit
Dicrurus ludwigii_Common Square-tailed Drongo
Melocichla mentalis_Moustached Grass-Warbler
Cinnyris bifasciatus_Purple-banded Sunbird
Columba delegorguei_Delegorgue's Pigeon
Phyllastrephus fischeri_Fischer's Greenbul
Columba larvata_Lemon Dove
Columba arquatrix_Rameron Pigeon
Sheppardia gunningi_East Coast Akalat
Campethera cailliautii_Green-backed Woodpecker
Telophorus zeylonus_Bokmakierie
Bycanistes brevis_Silvery-cheeked Hornbill
Chloropicus griseocephalus_Olive Woodpecker
Zosterops pallidus_Orange River White-eye
Cinnyris afer_Greater Double-collared Sunbird
Nectarinia famosa_Malachite Sunbird
Stactolaema olivacea_Green Barbet
Cichladusa arquata_Collared Palm-Thrush
Acrocephalus griseldis_Basra Reed Warbler
Apalis ruddi_Rudd's Apalis
Trochocercus cyanomelas_African Crested-Flycatcher
Coturnix coturnix_Common Quail
Acrocephalus scirpaceus_Eurasian Reed Warbler
Turdus olivaceus_Olive Thrush
Elminia albonotata_White-tailed Crested-Flycatcher
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Sterna paradisaea_Arctic Tern
Melaniparus leucomelas_White-winged Black-Tit
Pandion haliaetus_Osprey
Coccopygia quartinia_Yellow-bellied Waxbill
Zapornia pusilla_Baillon's Crake
Merops superciliosus_Madagascar Bee-eater
Cyanomitra olivacea_Olive Sunbird
Cossypha anomala_Olive-flanked Robin-Chat
Ploceus bicolor_Forest Weaver
Eurillas virens_Little Greenbul
Egretta gularis_Western Reef-Heron
Oenanthe oenanthe_Northern Wheatear
Nectarinia kilimensis_Bronze Sunbird
Cisticola marginatus_Winding Cisticola
Phyllastrephus strepitans_Northern Brownbul
Chamaetylas fuelleborni_White-chested Alethe
Sterna sumatrana_Black-naped Tern
Dromas ardeola_Crab-Plover
Numenius arquata_Eurasian Curlew
Apalis melanocephala_Black-headed Apalis
Ploceus subaureus_African Golden-Weaver
Caprimulgus clarus_Slender-tailed Nightjar
Apaloderma vittatum_Bar-tailed Trogon
Sylvietta ruficapilla_Red-capped Crombec
Cyanomitra veroxii_Mouse-colored Sunbird
Larus dominicanus_Kelp Gull
Pluvialis squatarola_Black-bellied Plover
Sylvia abyssinica_African Hill Babbler
Haematopus ostralegus_Eurasian Oystercatcher
Charadrius mongolus_Lesser Sand-Plover
Phyllastrephus cabanisi_Cabanis's Greenbul
Pogoniulus pusillus_Red-fronted Tinkerbird
Sterna hirundo_Common Tern
Caprimulgus natalensis_Swamp Nightjar
Hydroprogne caspia_Caspian Tern
Phyllastrephus cerviniventris_Gray-olive Greenbul
Bradypterus lopezi_Evergreen-forest Warbler
Notopholia corusca_Black-bellied Starling
Numenius phaeopus_Whimbrel
Cecropis cucullata_Greater Striped Swallow
Xenus cinereus_Terek Sandpiper
Falco tinnunculus_Eurasian Kestrel
Thalasseus sandvicensis_Sandwich Tern
Charadrius leschenaultii_Greater Sand-Plover
Bradypterus cinnamomeus_Cinnamon Bracken-Warbler
Stercorarius pomarinus_Pomarine Jaeger
Pternistis hildebrandti_Hildebrandt's Francolin
Sternula albifrons_Little Tern
Sterna dougallii_Roseate Tern
Onychoprion fuscatus_Sooty Tern
Stactolaema leucotis_White-eared Barbet
Crithagra hyposticta_Southern Citril
Thalasseus bergii_Great Crested Tern
Macronyx capensis_Orange-throated Longclaw
Arenaria interpres_Ruddy Turnstone
Apus melba_Alpine Swift
Limosa lapponica_Bar-tailed Godwit
Ptyonoprogne fuligula_Rock Martin
Stercorarius parasiticus_Parasitic Jaeger
Curruca communis_Greater Whitethroat
Tringa ochropus_Green Sandpiper
Crithagra atrogularis_Black-throated Canary
Falco vespertinus_Red-footed Falcon
Thalasseus bengalensis_Lesser Crested Tern
Corvus capensis_Cape Crow
Calidris alba_Sanderling
Curruca subcoerulea_Chestnut-vented Warbler
Cuculus rochii_Madagascar Cuckoo
Circus aeruginosus_Eurasian Marsh-Harrier
Sarothrura rufa_Red-chested Flufftail
Melaniparus cinerascens_Ashy Tit
Cinnyris chalybeus_Southern Double-collared Sunbird
Ploceus capensis_Cape Weaver
Anthropoides paradiseus_Blue Crane
Mirafra passerina_Monotonous Lark
Prinia hypoxantha_Drakensberg Prinia
Cossypha dichroa_Chorister Robin-Chat
Laniarius atrococcineus_Crimson-breasted Gonolek
Scleroptila levaillantii_Red-winged Francolin
Larus fuscus_Lesser Black-backed Gull
Crithagra scotops_Forest Canary
Podiceps nigricollis_Eared Grebe
Anthoscopus minutus_Southern Penduline-Tit
Columba livia_Rock Pigeon
Chersomanes albofasciata_Spike-heeled Lark
Myrmecocichla formicivora_Southern Anteater-Chat
Anthus similis_Long-billed Pipit
Petrochelidon spilodera_South African Swallow
Eupodotis senegalensis_White-bellied Bustard
Stercorarius antarcticus_Brown Skua
Sarothrura elegans_Buff-spotted Flufftail
