Grallaria nuchalis_Chestnut-naped Antpitta
Troglodytes solstitialis_Mountain Wren
Penelope barbata_Bearded Guan
Atlapetes rufigenis_Rufous-eared Brushfinch
Crypturellus transfasciatus_Pale-browed Tinamou
Iridosornis rufivertex_Golden-crowned Tanager
Synallaxis tithys_Blackish-headed Spinetail
Lurocalis rufiventris_Rufous-bellied Nighthawk
Piranga rubriceps_Red-hooded Tanager
Uropsalis segmentata_Swallow-tailed Nightjar
Syndactyla ruficollis_Rufous-necked Foliage-gleaner
Paraclaravis mondetoura_Maroon-chested Ground Dove
Grallaria watkinsi_Watkins's Antpitta
Turdus maranonicus_Marañon Thrush
Colibri coruscans_Sparkling Violetear
Anairetes reguloides_Pied-crested Tit-Tyrant
Grallaricula nana_Slate-crowned Antpitta
Sporathraupis cyanocephala_Blue-capped Tanager
Patagioenas fasciata_Band-tailed Pigeon
Accipiter striatus_Sharp-shinned Hawk
Phaethon aethereus_Red-billed Tropicbird
Grallaria guatimalensis_Scaled Antpitta
Columbina minuta_Plain-breasted Ground Dove
Picumnus sclateri_Ecuadorian Piculet
Adelomyia melanogenys_Speckled Hummingbird
Gallinago jamesoni_Jameson's Snipe
Scytalopus latrans_Blackish Tapaculo
Cinnycerthia unirufa_Rufous Wren
Leptotila ochraceiventris_Ochre-bellied Dove
Lathrotriccus griseipectus_Gray-breasted Flycatcher
Nothocercus nigrocapillus_Hooded Tinamou
Aglaiocercus kingii_Long-tailed Sylph
Megascops albogularis_White-throated Screech-Owl
Todirostrum cinereum_Common Tody-Flycatcher
Spinus crassirostris_Thick-billed Siskin
Platalea ajaja_Roseate Spoonbill
Columba livia_Rock Pigeon
Orochelidon flavipes_Pale-footed Swallow
Stercorarius maccormicki_South Polar Skua
Scytalopus macropus_Large-footed Tapaculo
Oressochen melanopterus_Andean Goose
Pachyramphus homochrous_One-colored Becard
Diglossa lafresnayii_Glossy Flowerpiercer
Campephilus gayaquilensis_Guayaquil Woodpecker
Fulica gigantea_Giant Coot
Phaethornis syrmatophorus_Tawny-bellied Hermit
Heliangelus viola_Purple-throated Sunangel
Turdus reevei_Plumbeous-backed Thrush
Cyanocorax mystacalis_White-tailed Jay
Amblycercus holosericeus_Yellow-billed Cacique
Elaenia obscura_Highland Elaenia
Hellmayrea gularis_White-browed Spinetail
Dryobates nigriceps_Bar-bellied Woodpecker
Upucerthia validirostris_Buff-breasted Earthcreeper
Phyllomyias nigrocapillus_Black-capped Tyrannulet
Pterodroma cookii_Cook's Petrel
Myiarchus phaeocephalus_Sooty-crowned Flycatcher
Ciccaba albitarsis_Rufous-banded Owl
Phaethornis longirostris_Long-billed Hermit
Syndactyla rufosuperciliata_Buff-browed Foliage-gleaner
Spinus atratus_Black Siskin
Thinocorus orbignyianus_Gray-breasted Seedsnipe
Anous stolidus_Brown Noddy
Trogon mesurus_Ecuadorian Trogon
Podiceps occipitalis_Silvery Grebe
Tangara xanthocephala_Saffron-crowned Tanager
Schistochlamys melanopis_Black-faced Tanager
Chlorophonia cyanocephala_Golden-rumped Euphonia
Momotus subrufescens_Whooping Motmot
Myiopagis subplacens_Pacific Elaenia
Geositta cunicularia_Common Miner
Pyriglena maura_Western Fire-eye
Campephilus pollens_Powerful Woodpecker
Diglossa cyanea_Masked Flowerpiercer
Conothraupis speculigera_Black-and-white Tanager
Chlidonias niger_Black Tern
Asthenes modesta_Cordilleran Canastero
Pionus chalcopterus_Bronze-winged Parrot
Brotogeris pyrrhoptera_Gray-cheeked Parakeet
Uromyias agraphia_Unstreaked Tit-Tyrant
Nothoprocta ornata_Ornate Tinamou
Ortalis erythroptera_Rufous-headed Chachalaca
Cyanolyca viridicyanus_White-collared Jay
Tinamotis pentlandii_Puna Tinamou
Pheugopedius sclateri_Speckle-breasted Wren
Dubusia castaneoventris_Chestnut-bellied Mountain Tanager
Anairetes parulus_Tufted Tit-Tyrant
Xenodacnis parina_Tit-like Dacnis
Mecocerculus poecilocercus_White-tailed Tyrannulet
Ochetorhynchus ruficaudus_Straight-billed Earthcreeper
Grallaria przewalskii_Rusty-tinged Antpitta
Myadestes ralloides_Andean Solitaire
Claravis pretiosa_Blue Ground Dove
Pionus tumultuosus_Speckle-faced Parrot
Asthenes pudibunda_Canyon Canastero
Grallaria ruficapilla_Chestnut-crowned Antpitta
Leptasthenura striata_Streaked Tit-Spinetail
Pheugopedius euophrys_Plain-tailed Wren
Charadrius wilsonia_Wilson's Plover
Elaenia chiriquensis_Lesser Elaenia
Pseudotriccus ruficeps_Rufous-headed Pygmy-Tyrant
Hydrobates castro_Band-rumped Storm-Petrel
Cinnycerthia peruana_Peruvian Wren
Leptasthenura andicola_Andean Tit-Spinetail
Phoenicoparrus andinus_Andean Flamingo
Anairetes alpinus_Ash-breasted Tit-Tyrant
Premnornis guttuliger_Rusty-winged Barbtail
Phrygilus atriceps_Black-hooded Sierra Finch
Phoenicoparrus jamesi_James's Flamingo
Rhodospingus cruentus_Crimson-breasted Finch
Myiodynastes maculatus_Streaked Flycatcher
Recurvirostra andina_Andean Avocet
Laterallus jamaicensis_Black Rail
Conirostrum binghami_Giant Conebill
Myiophobus flavicans_Flavescent Flycatcher
Hemitriccus granadensis_Black-throated Tody-Tyrant
Pseudotriccus pelzelni_Bronze-olive Pygmy-Tyrant
Platyrinchus mystaceus_White-throated Spadebill
Myiothlypis fraseri_Gray-and-gold Warbler
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Jacana jacana_Wattled Jacana
Patagioenas maculosa_Spot-winged Pigeon
Spinus olivaceus_Olivaceous Siskin
Conirostrum tamarugense_Tamarugo Conebill
